date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
8/4/22,75,66,63,96,83,64,81,100,23430,27420,3990,4560,12390,6480,37,85,1320,13950,2022-08-03T22:59:47-04:00,2022-08-04T06:36:47-04:00,57.02,52,51,0.06,0.16,13,98,83,100,100,100,100,768,2857,17327,15471,29520,28800,19740,5760,360,2220,1.6875,0,64,73,69,69,37,99,60,48,88
8/5/22,67,60,63,80,62,62,67,100,22050,29040,6990,4530,12780,4740,37,76,180,15270,2022-08-04T22:07:05-04:00,2022-08-05T06:11:05-04:00,50.89,46,69,-0.11,0.06,13.375,97,87,100,100,100,100,887,3036,21259,18370,27420,25680,28380,4680,0,240,1.78125,0,72,53,66,88,46,100,100,60,100
8/6/22,67,50,40,97,74,74,70,100,19410,24060,4650,2910,9780,6720,26,81,240,10830,2022-08-05T23:31:59-04:00,2022-08-06T06:12:59-04:00,58.79,51,52,0.06,0.03,13.25,96,97,100,100,100,100,1407,3615,31435,27984,21480,20760,34080,9240,660,180,2.125,0,57,53,60,87,51,99,68,58,17
8/7/22,63,39,34,95,93,66,83,86,16590,18660,2070,2550,8460,5580,32,89,540,9090,2022-08-07T00:55:47-04:00,2022-08-07T06:06:47-04:00,48.28,44,78,-0.42,-0.13,12.625,94,97,100,100,100,100,1138,3245,22609,22365,20640,31080,25920,7860,900,0,1.90625,0,65,43,52,76,46,91,94,74,79
8/8/22,75,68,47,100,95,68,72,100,23970,26640,2670,3450,11520,9000,31,90,300,13260,2022-08-07T21:51:17-04:00,2022-08-08T05:15:17-04:00,49.06,44,71,0.18,-0.05,12.5,84,55,100,100,100,100,1012,3103,12972,16621,43140,24120,14520,1440,3180,0,1.84375,0,72,73,54,83,46,89,94,81,80
8/11/22,76,62,57,99,86,77,86,100,22470,25980,3510,4140,9810,8520,32,86,1200,13230,2022-08-10T21:53:28-04:00,2022-08-11T05:06:28-04:00,53.9,47,57,-0.35,-0.12,12.625,94,67,100,95,100,100,1229,3353,17317,21714,37260,22200,19920,2760,4260,0,1.96875,0,74,75,55,None,66,93,100,81,77
8/12/22,65,48,34,98,76,69,67,100,19050,23160,4110,2490,9270,7290,30,82,180,12180,2022-08-11T22:35:07-04:00,2022-08-12T05:01:07-04:00,48.32,42,66,-0.53,-0.27,12.25,94,70,95,95,100,100,1196,3291,17224,21087,35340,23820,21060,2580,3600,0,1.9375,1,64,48,51,48,64,87,86,85,76
8/13/22,80,71,74,100,93,74,70,100,24870,27900,3030,5340,9330,10200,19,89,1530,14280,2022-08-12T22:20:29-04:00,2022-08-13T06:05:29-04:00,54.03,48,62,0.16,-0.18,12.75,94,75,100,95,100,100,894,3034,20014,17697,34140,23160,22260,6600,240,0,1.78125,0,74,85,56,55,63,91,92,85,91
8/14/22,78,75,48,100,86,71,91,89,25770,29940,4170,3540,12900,9330,29,86,750,14610,2022-08-13T23:17:06-04:00,2022-08-14T07:36:06-04:00,51.29,46,58,-0.11,-0.04,12.375,89,71,95,78,100,100,631,2710,10409,11160,34920,31080,17460,1680,1260,0,1.59375,1,80,80,62,80,66,100,100,83,100
8/15/22,72,60,34,100,83,70,86,100,21960,25800,3840,2580,10230,9150,33,85,630,12570,2022-08-14T21:56:50-04:00,2022-08-15T05:06:50-04:00,50.09,45,67,0.09,0.05,12.625,88,70,100,95,100,100,1117,3229,17619,19931,35400,26760,17700,3720,2820,0,1.90625,0,78,65,61,84,73,97,100,85,100
8/19/22,88,88,80,100,95,78,81,100,29070,32160,3090,5730,12840,10500,26,90,480,15600,2022-08-18T22:20:33-04:00,2022-08-19T07:16:33-04:00,52.08,47,60,-0.02,0.03,12.625,96,79,100,100,100,100,1697,3871,29320,31060,33120,17280,23520,9000,3240,240,2.28125,0,84,100,73,66,70,100,98,None,100
