"date","user_uid","Total Distance","Total Duration","Total Player Load","Max Vel","Velocity Band 1 Total Distance","Velocity Band 2 Total Distance","Velocity Band 3 Total Distance","Velocity Band 4 Total Distance","Velocity Band 5 Total Distance","Velocity Band 6 Total Distance","Velocity Band 7 Total Distance","Velocity Band 8 Total Distance","Acceleration Band 1 Total Effort Count","Acceleration Band 2 Total Effort Count","Acceleration Band 3 Total Effort Count","Acceleration Band 4 Total Effort Count","Acceleration Band 5 Total Effort Count","Acceleration Band 6 Total Effort Count","Acceleration Band 7 Total Effort Count","Ima Band 3 Accel Count","Ima Band 3 Decel Count","Player Load Per Minute","Start Time H","Total Live Play","IMA Accel Low Count","IMA COD Right Low Count","IMA Decel Low Count","IMA COD Left Low Count","IMA Dive Intensity Left Low Count","IMA Dive Intensity Right Low Count","IMA Accel Med Count","IMA COD Right Med Count","IMA Decel Med Count","IMA COD Left Med Count","IMA Dive Intensity Left Med Count","IMA Dive Intensity Right Med Count","IMA COD Right High Count","IMA COD Left High Count","IMA Dive Intensity Left High Count","IMA Dive Intensity Right High Count","Position","Starter","HSD","IMA","Week","Game"
2022-08-23,"umi8c47fk1yeu1cq",914.4,652.36,NA,11.26,98.92,79.58,102.65,634.7,0,0,0,0,0,0,0,92,97,6,3,0,0,8.13,"08:49:36",0,14,7,4,11,0,0,1,0,0,2,0,0,0,0,0,0,"W","Non-Starter",0,0,3,"Training"
2022-08-24,"umi8c47fk1yeu1cq",3836.88,3900.89,372.95,19.58,749.18,781.17,1195.52,843.5,125.03,42.29,98.34,0,0,0,11,892,920,21,2,2,6,5.74,"09:00:56",0,16,72,39,65,0,0,3,15,17,8,0,0,5,4,0,0,"W","Non-Starter",265.66,17,3,"Training"
2022-08-25,"umi8c47fk1yeu1cq",4090.03,5325,455.15,16.49,1324.02,1006.28,987.3,619.02,82.76,48.05,18.42,0,0,2,5,1232,1297,14,3,4,12,5.13,"14:49:30",0,21,85,36,99,0,0,3,16,21,12,0,0,2,3,0,0,"W","Non-Starter",149.23,21,3,"Game"
2022-08-26,"umi8c47fk1yeu1cq",4193.62,3079.16,473.94,14.93,654.89,589.54,1536.94,1148.99,227.73,31.6,0,0,0,1,10,735,774,22,0,5,7,9.24,"09:01:52",0,44,108,82,101,0,0,16,15,33,26,0,0,5,3,0,0,"W","Non-Starter",259.33,20,3,"Training"
2022-08-27,"umi8c47fk1yeu1cq",4132.46,3746.32,461.44,18.04,796.53,704.91,1493.18,843.02,157.62,79.65,55.09,0,0,1,8,847,892,21,1,8,2,7.39,"10:34:12",0,24,90,36,102,0,0,7,14,10,15,0,0,4,4,0,0,"W","Non-Starter",292.36,18,3,"Training"
2022-08-28,"umi8c47fk1yeu1cq",2830.08,3479.61,279.21,16.2,516.68,512.63,802.57,827.4,102.99,55.3,10.6,0,0,0,8,657,674,19,1,1,6,4.81,"09:58:11",0,9,51,20,50,0,0,4,6,13,10,0,0,2,0,0,0,"W","Non-Starter",168.89,9,3,"Training"
2022-08-29,"umi8c47fk1yeu1cq",2545.73,3557,316.29,15.2,868.48,499.45,685.8,441.45,23.66,25.25,0,0,0,0,5,798,881,9,2,4,7,5.34,"18:19:46",0,24,74,40,76,0,0,8,10,12,18,0,0,2,5,0,0,"W","Non-Starter",48.91,18,4,"Game"
2022-08-31,"umi8c47fk1yeu1cq",0,1462,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,"09:55:51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","Non-Starter",0,0,4,"Training"
2022-09-01,"umi8c47fk1yeu1cq",4940.12,4116,461.12,19.67,800.09,992.75,1469.03,1314.16,176.6,87.88,99.32,0,0,1,12,918,952,23,7,2,3,6.72,"09:00:26",0,18,84,37,87,0,0,2,14,9,13,0,0,1,2,0,0,"W","Non-Starter",363.8,8,4,"Training"
2022-09-02,"umi8c47fk1yeu1cq",3163.28,5743,370.74,14.35,1008.93,682.25,861.76,537.8,64.65,7.34,0,0,0,3,2,1107,1165,7,10,6,8,3.87,"18:34:20",0,22,78,48,67,0,0,5,14,24,12,0,0,3,3,0,0,"W","Non-Starter",71.99,20,4,"Game"
