Name,Duration_New,PL_New,Distance_New,HSD_New,VHSD_New,IMA_New,MaxVel_New,Duration_Old,PL_Old,Distance_Old,HSD_Old,VHSD_Old,IMA_Old,MaxVel_Old
AH,10.65,135.28223,1144.92871,37.26,37.26,3,14.05223,10.65,122.00485,1128.67676,38.52,36.6,2,14.16987
AH1,9.83,126.55925,1036.82129,62.81,57.79,3,14.80237,9.83,114.58405,1036.00098,66.41,62.77,7,14.86556
BJ,10.65,91.3483,1031.47192,34.46,29.63,3,14.58129,10.65,97.9856,1026.26367,33.55,29.24,4,14.76937
BJ1,9.83,96.56928,1009.34283,84.02,55.85,1,15.32268,9.83,103.15543,1011.95117,81.85,55.96,5,15.72007
FM,10.65,106.049,1064.51733,9.31,9.31,1,12.66738,10.65,88.18243,1043.60498,6.04,6.04,4,12.6756
FM1,9.83,106.98022,1084.22168,12.46,12.46,2,13.74743,9.83,89.04617,1077.11182,14.04,14.04,1,13.59722
JL,10.65,117.30328,1039.9502,38.17,35.34,7,14.18242,10.65,106.18111,1062.9209,32.64,32.09,7,14.19224
JL1,9.83,117.76467,1011.03467,36.78,14.2,3,16.11736,9.83,105.75169,1039.58887,34.99,12.33,4,16.22786
LM,10.65,116.75388,1003.94189,39.29,25.73,5,15.14751,10.65,106.45546,985.0249,40.95,29.07,5,15.45164
LM1,9.83,127.20825,1103.09717,73.79,57.98,4,15.26082,9.83,114.77942,1111.84375,75.84,53.36,3,15.67981
LM2,10.65,122.56556,1128.29077,95.62,78.23,1,15.04086,10.65,114.80824,1130.2738,84.55,68.58,6,15.51427
LM3,9.83,131.69965,1194.1709,72.82,49.02,0,16.51353,9.83,121.3549,1179.81104,72.17,47.43,1,17.11592
MB,10.65,163.31842,1242.34033,71.52,59.66,4,15.21894,10.65,143.48495,1278.43982,83.97,72.74,9,15.27268
MB1,9.83,161.40189,1208.71289,51.39,33.27,4,15.44094,9.83,142.08304,1227.57324,53.99,37.07,4,15.55901
