date,segment,user_uid,Body Map Soreness,Body Map Pain,Sleep_Duration_h,Meals,Snacks,Drinks,Fatigue,RPE_Physical,RPE_Mental,Good_stress,Bad_stress
8/27/22,Front Anterior Hip / Groin / Adductors (Left),umi8c47fk1yeu1cq,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/22,Front Anterior Hip / Groin / Adductors (Right),umi8c47fk1yeu1cq,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/22,Front Quad (Left),umi8c47fk1yeu1cq,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/22,Front Quad (Right),umi8c47fk1yeu1cq,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/22,,umi8c47fk1yeu1cq,NA,NA,8,3,2,5,5,9,8,2,4
8/27/22,Front body_map_anterior_hip_groin_adductors_left,umi8c47fk1yeu1cq,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/22,Front body_map_anterior_hip_groin_adductors_right,umi8c47fk1yeu1cq,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/22,Front body_map_quad_left,umi8c47fk1yeu1cq,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/22,Front body_map_quad_right,umi8c47fk1yeu1cq,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/28/22,Front Anterior Hip / Groin / Adductors (Left),umi8c47fk1yeu1cq,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/28/22,Front Anterior Hip / Groin / Adductors (Right),umi8c47fk1yeu1cq,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/28/22,Front Quad (Left),umi8c47fk1yeu1cq,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/28/22,Front Quad (Right),umi8c47fk1yeu1cq,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/28/22,,umi8c47fk1yeu1cq,NA,NA,9,3,2,5,4,7,7,3,6
8/28/22,Front body_map_anterior_hip_groin_adductors_left,umi8c47fk1yeu1cq,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/28/22,Front body_map_anterior_hip_groin_adductors_right,umi8c47fk1yeu1cq,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/28/22,Front body_map_quad_left,umi8c47fk1yeu1cq,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/28/22,Front body_map_quad_right,umi8c47fk1yeu1cq,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/29/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,6,3,1,1,3,9
9/1/22,,umi8c47fk1yeu1cq,NA,NA,9,3,4,6,2,3,6,3,9
9/2/22,,umi8c47fk1yeu1cq,NA,NA,9,3,2,5,2,6,3,4,9
9/4/22,,umi8c47fk1yeu1cq,NA,NA,10,3,3,6,2,6,6,3,9
9/5/22,,umi8c47fk1yeu1cq,NA,NA,10,3,4,7,3,5,2,4,9
9/6/22,,umi8c47fk1yeu1cq,NA,NA,9,4,3,7,3,5,4,7,9
9/7/22,,umi8c47fk1yeu1cq,NA,NA,6,3,3,6,2,9,3,4,0
9/8/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,6,5,7,5,4,9
9/9/22,,umi8c47fk1yeu1cq,NA,NA,8,3,4,7,4,8,2,3,9
9/10/22,,umi8c47fk1yeu1cq,NA,NA,9,2,3,7,2,7,2,5,9
9/11/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,7,4,7,1,3,9
9/12/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,7,4,7,4,4,9
9/13/22,,umi8c47fk1yeu1cq,NA,NA,7,3,3,7,4,9,6,5,9
9/14/22,,umi8c47fk1yeu1cq,NA,NA,9,2,3,8,6,10,6,5,9
9/15/22,,umi8c47fk1yeu1cq,NA,NA,11,2,3,7,8,9,6,5,9
9/16/22,,umi8c47fk1yeu1cq,NA,NA,10,2,3,8,3,5,7,4,9
9/17/22,,umi8c47fk1yeu1cq,NA,NA,8,3,4,8,8,6,6,4,8
9/19/22,Front Outer Leg / Shin (Left),umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/19/22,Front Outer Leg / Shin (Right),umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/19/22,Front Quad (Left),umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/19/22,Front Quad (Right),umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/19/22,,umi8c47fk1yeu1cq,NA,NA,10,3,3,8,5,8,5,4,9
9/19/22,Front body_map_outer_leg_shin_left,umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/19/22,Front body_map_outer_leg_shin_right,umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/19/22,Front body_map_quad_left,umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/19/22,Front body_map_quad_right,umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/20/22,,umi8c47fk1yeu1cq,NA,NA,9,3,4,7,5,4,8,4,9
9/21/22,Back Head,umi8c47fk1yeu1cq,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/21/22,Front Core,umi8c47fk1yeu1cq,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/21/22,Front Head,umi8c47fk1yeu1cq,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/21/22,Front Neck,umi8c47fk1yeu1cq,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/21/22,,umi8c47fk1yeu1cq,NA,NA,11,3,3,8,8,5,1,4,9
9/21/22,Back body_map_head,umi8c47fk1yeu1cq,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/21/22,Front body_map_core,umi8c47fk1yeu1cq,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/21/22,Front body_map_head,umi8c47fk1yeu1cq,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/21/22,Front body_map_neck,umi8c47fk1yeu1cq,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/22,Back Head,umi8c47fk1yeu1cq,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/22,Front Core,umi8c47fk1yeu1cq,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/22,Front Head,umi8c47fk1yeu1cq,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/22,Front Neck,umi8c47fk1yeu1cq,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/22,,umi8c47fk1yeu1cq,NA,NA,10,3,3,9,8,0,0,3,8
9/22/22,Back body_map_head,umi8c47fk1yeu1cq,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/22,Front body_map_core,umi8c47fk1yeu1cq,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/22,Front body_map_head,umi8c47fk1yeu1cq,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/22,Front body_map_neck,umi8c47fk1yeu1cq,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/26/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,9,6,0,0,6,8
9/27/22,Back Lower Back,umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/27/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,8,4,7,6,7,9
9/27/22,Back body_map_lower_back,umi8c47fk1yeu1cq,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/28/22,,umi8c47fk1yeu1cq,NA,NA,9,3,4,7,7,8,3,5,10
9/29/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,7,6,6,5,6,7
9/30/22,,umi8c47fk1yeu1cq,NA,NA,9,3,3,7,4,5,5,4,8
10/2/22,,umi8c47fk1yeu1cq,NA,NA,9,3,3,7,1,0,0,4,6
10/3/22,,umi8c47fk1yeu1cq,NA,NA,8,3,3,7,2,5,6,3,7
10/4/22,,umi8c47fk1yeu1cq,NA,NA,7,4,3,6,4,5,6,5,7
